meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
Olympic Games Beijing 2008,03:43.10,09/08/2008,Men 400 Freestyle LCM Male,USA,United States of America,"JENSEN, Larsen",M,01/09/1985,,,43,44,994,Beijing,CHN
Olympic Games Athens 2004,03:43.10,14/08/2004,Men 400 Freestyle LCM Male,AUS,Australia,"THORPE, Ian",M,13/10/1982,,,43,45,,Athens,GRE
Olympic Games Beijing 2008,03:43.11,10/08/2008,Men 400 Freestyle LCM Male,USA,United States of America,"VANDERKAAY, Peter",M,12/02/1984,,,46,46,994,Beijing,CHN
12th Pan Pacific Championships 2014,03:43.15,23/08/2014,Men 400 Freestyle LCM Male,KOR,Republic of Korea,"PARK, Taehwan",M,27/09/1989,,,47,47,959,Gold Coast,AUS
18th FINA World Championships 2019,03:43.17,21/07/2019,Men 400 Freestyle LCM Male,AUS,Australia,"HORTON, Mack",M,25/04/1996,,,48,48,958,Gwangju,KOR
13th FINA World Championships 2009,03:43.20,26/07/2009,Men 400 Freestyle LCM Male,USA,United States of America,"VANDERKAAY, Peter",M,12/02/1984,,,49,49,,Rome,ITA
18th FINA World Championships 2019,03:43.23,21/07/2019,Men 400 Freestyle LCM Male,ITA,Italy,"DETTI, Gabriele",M,29/08/1994,,,50,50,958,Gwangju,KOR
17th Asian Games 2014,03:43.23,23/09/2014,Men 400 Freestyle LCM Male,CHN,People's Republic of China,"SUN, Yang",M,01/12/1991,,,50,51,958,Incheon,KOR
14th FINA World Championships 2011,03:43.24,24/07/2011,Men 400 Freestyle LCM Male,CHN,People's Republic of China,"SUN, Yang",M,01/12/1991,,,52,52,958,Shanghai,CHN
Hancock Prospecting Australian Swimming Trials 2021,03:43.27,12/06/2021,Men 400 Freestyle LCM Male,AUS,Australia,"MCLOUGHLIN, Jack Alan",M,01/02/1995,,,53,53,957,Adelaide,AUS
19th FINA World Championships Budapest 2022,03:43.31,18/06/2022,Men 400 Freestyle LCM Male,BRA,Brazil,"COSTA, Guilherme",M,01/10/1998,,,54,54,957,Budapest,HUN
Olympic Games Beijing 2008,03:43.32,09/08/2008,Men 400 Freestyle LCM Male,CHN,People's Republic of China,"ZHANG, Lin",M,06/01/1987,,,55,55,991,Beijing,CHN
Olympic Games Beijing 2008,03:43.35,09/08/2008,Men 400 Freestyle LCM Male,KOR,Republic of Korea,"PARK, Taehwan",M,27/09/1989,,,56,56,991,Beijing,CHN
