meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
FINA Champions Swim Series 2019,27.60,27/04/2019,Women 50 Backstroke LCM Female,CHN,People's Republic of China,"FU, Yuanhui",F,07/01/1996,,,125,126,934,Guangzhou,CHN
Chinese National Championships (50m),27.60,13/04/2018,Women 50 Backstroke LCM Female,CHN,People's Republic of China,"CHEN, Jie",F,28/02/1995,,,125,127,942,Taiyuan,CHN
Chinese Nationals,27.60,13/04/2018,Women 50 Backstroke LCM Female,CHN,People's Republic of China,"CHEN, Jie",F,28/02/1995,,,125,128,942,Shanxi,CHN
17th FINA World Championships 2017,27.60,27/07/2017,Women 50 Backstroke LCM Female,AUS,Australia,"BARRATT, Holly",F,01/01/1988,,,125,129,942,Budapest,HUN
17th FINA World Championships 2017,27.60,26/07/2017,Women 50 Backstroke LCM Female,CHN,People's Republic of China,"WANG, Xueer",F,15/01/1998,,,125,130,942,Budapest,HUN
Hancock Prospecting Australian,27.60,11/04/2017,Women 50 Backstroke LCM Female,AUS,Australia,"BARRATT, Holly",F,01/01/1988,,,125,131,942,Brisbane,AUS
National Chinese Championships (50m),27.60,08/04/2017,Women 50 Backstroke LCM Female,CHN,People's Republic of China,"CHEN, Jie",F,28/02/1995,,,125,132,942,Qingdae,CHN
NSW Open State Championships 2022,27.61,06/03/2022,Women 50 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,12/07/2001,,,133,133,933,Sydney,AUS
National Swimming Championships 2019 (50m),27.61,28/03/2019,Women 50 Backstroke LCM Female,CHN,People's Republic of China,"FU, Yuanhui",F,07/01/1996,,,133,134,933,Qingdao,CHN
17th FINA World Championships 2017,27.61,27/07/2017,Women 50 Backstroke LCM Female,GBR,Great Britain,"DAVIES, Georgia",F,11/10/1990,,,133,135,941,Budapest,HUN
Chinese National Championships (50m),27.61,09/04/2015,Women 50 Backstroke LCM Female,CHN,People's Republic of China,"FU, Yuanhui",F,07/01/1996,,,133,136,941,Baoji ,CHN
20th Commonwealth Games 2014,27.61,28/07/2014,Women 50 Backstroke LCM Female,GBR,Great Britain,"DAVIES, Georgia",F,11/10/1990,,,133,137,941,Glasgow,GBR
German National Championships (50m),27.61,26/06/2009,Women 50 Backstroke LCM Female,GER,Germany,"SAMULSKI, Daniela",F,31/05/1984,,,133,138,,Berlin,GER
Australian National Championships (50m),27.62,19/05/2022,Women 50 Backstroke LCM Female,AUS,Australia,"JOB, Bronte",F,25/03/2003,,,139,139,932,Adelaide,AUS
French Winter National Championships (50m),27.62,09/12/2021,Women 50 Backstroke LCM Female,FRA,France,"PIGREE, Analia",F,31/07/2001,,,139,140,932,Montpellier,FRA
18th FINA World Championships 2019,27.62,24/07/2019,Women 50 Backstroke LCM Female,USA,United States of America,"BAKER, Kathleen",F,28/02/1997,,,139,141,932,Gwangju,KOR
European Championships 2018,27.62,04/08/2018,Women 50 Backstroke LCM Female,FIN,Finland,"JALLOW, Mimosa",F,17/06/1994,,,139,142,940,Glasgow,GBR
Maria Lenk Trophy 2017,27.62,04/05/2017,Women 50 Backstroke LCM Female,BRA,Brazil,"MEDEIROS, Etiene",F,24/05/1991,,,139,143,940,Rio de Janeiro,BRA
Maria Lenk Trophy 2017,27.62,02/05/2017,Women 50 Backstroke LCM Female,BRA,Brazil,"MEDEIROS, Etiene",F,24/05/1991,,,139,144,940,Rio de Janeiro,BRA
13th FINA World Championships 2009,27.62,30/07/2009,Women 50 Backstroke LCM Female,BLR,Belarus,"HERASIMENIA, Aliaksandra",F,31/12/1985,,,139,145,,Rome,ITA
Mare Nostrum - 39th Meeting International de Natation de Monte Carlo 2022,27.63,22/05/2022,Women 50 Backstroke LCM Female,CAN,Canada,"WILM, Ingrid",F,08/06/1998,,,146,146,931,Monaco,MON
56th International Trophy “Settecolli”,27.63,21/06/2019,Women 50 Backstroke LCM Female,NED,Netherlands,"TOUSSAINT, Kira",F,22/05/1994,,,146,147,931,Rome,ITA
21st Commonwealth Games 2018,27.63,09/04/2018,Women 50 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,05/06/1992,,,146,148,939,Gold Coast,AUS
17th FINA World Championships 2017,27.63,26/07/2017,Women 50 Backstroke LCM Female,USA,United States of America,"STEVENS, Hannah",F,09/05/1995,,,146,149,939,Budapest,HUN
US National Championships (50m),27.63,29/06/2017,Women 50 Backstroke LCM Female,USA,United States of America,"STEVENS, Hannah",F,09/05/1995,,,146,150,939,Indianapolis,USA
16th FINA World Championships 2015,27.63,05/08/2015,Women 50 Backstroke LCM Female,DEN,Denmark,"NIELSEN, Mie Oe",F,25/09/1996,,,146,151,939,Kazan,RUS
British Swimming Glasgow Open Meet,27.64,04/06/2021,Women 50 Backstroke LCM Female,GBR,Great Britain,"DAWSON, Kathleen",F,03/10/1997,,,152,152,930,Glasgow,GBR
Mare Nostrum - 38th Meeting International de Natation de Monte Carlo 2021,27.64,29/05/2021,Women 50 Backstroke LCM Female,NED,Netherlands,"TOUSSAINT, Kira",F,22/05/1994,,,152,153,930,Monaco,MON
56th International Trophy “Settecolli”,27.64,21/06/2019,Women 50 Backstroke LCM Female,BRA,Brazil,"MEDEIROS, Etiene",F,24/05/1991,,,152,154,930,Rome,ITA
17th FINA World Championships 2017,27.64,26/07/2017,Women 50 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,18/01/1996,,,152,155,938,Budapest,HUN
NSW State Open Championships 2015,27.64,01/03/2015,Women 50 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,05/06/1992,,,152,156,938,Sydney,AUS
BHP Aquatic Super Series 2015,27.64,31/01/2015,Women 50 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,05/06/1992,,,152,157,938,Perth,AUS
BHP Aquatic Super Series 2015,27.64,30/01/2015,Women 50 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,05/06/1992,,,152,158,938,Perth,AUS
